"Year","RO","HR","PA","DAU-Co","Crop_Type","Regional_AW_Vol","Regional_CF","Regional_ICA","Regional_ETc_Vol","Regional_ETaw_Vol","Regional_Ep_Vol"
"2016","SCRO","03_Central Coast","301_Northern","04827","Grain",104,0.740384615384615,100,141,77,63
"2016","SCRO","03_Central Coast","301_Northern","04827","Rice",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Cotton",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Sugar Beet",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Corn",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Dry Beans",131.6,0.821428571428571,94,103.4,108.1,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Safflower",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Other Field",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Alfalfa",137.54,0.849498327759197,46,156.4,116.84,39.56
"2016","SCRO","03_Central Coast","301_Northern","04827","Pasture",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Tomato Processing",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Tomato Fresh",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Cucurbits",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Onion & Garlic",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Potatoes",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Truck Crops",91362.02,0.900763358778626,69742,87177.5,82295.56,4184.52
"2016","SCRO","03_Central Coast","301_Northern","04827","Almonds & Pistachios",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Other Deciduous",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04827","Citrus & Subtropical",78.54,0.899159663865546,33,101.97,70.62,31.68
"2016","SCRO","03_Central Coast","301_Northern","04827","Vineyard",2849.84,0.903061224489796,1454,2849.84,2573.58,276.26
"2016","SCRO","03_Central Coast","301_Northern","04827","Total",NA,NA,NA,NA,NA,NA
"2016","SCRO","03_Central Coast","301_Northern","04927","Grain",440,0.745454545454545,400,572,328,244
"2016","SCRO","03_Central Coast","301_Northern","04927","Rice",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04927","Cotton",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04927","Sugar Beet",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04927","Corn",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04927","Dry Beans",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04927","Safflower",0,0,0,0,0,0
"2016","SCRO","03_Central Coast","301_Northern","04927","Other Field",74.37,0.781094527363184,37,62.53,58.09,4.44
"2016","SCRO","03_Central Coast","301_Northern","04927","Alfalfa",79.92,0.851351351351351,27,96.39,68.04,28.35
